strategy,run,timeSeconds,remainingTrashMass,remainingTrashCount,collectionRate,idleAgentCount,idleAgentRate,zoneImbalance
random,0,242.0,1372,1195,0.19953325554259038,12,0.6,2973.6875
random,0,243.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,244.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,245.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,246.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,247.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,248.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,249.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,250.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,251.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,252.0,1372,1195,0.19953325554259038,11,0.55,2973.6875
random,0,253.0,1371,1194,0.2001166861143524,12,0.6,2975.27734375
random,0,254.0,1370,1193,0.20070011668611432,12,0.6,2975.5694444444443
random,0,255.0,1370,1193,0.20070011668611432,11,0.55,2975.5694444444443
random,0,256.0,1370,1193,0.20070011668611432,11,0.55,2975.5694444444443
random,0,257.0,1370,1193,0.20070011668611432,11,0.55,2975.5694444444443
random,0,258.0,1370,1193,0.20070011668611432,11,0.55,2975.5694444444443
random,0,259.0,1370,1193,0.20070011668611432,11,0.55,2975.5694444444443
random,0,260.0,1370,1193,0.20070011668611432,11,0.55,2975.5694444444443
random,0,261.0,1370,1193,0.20070011668611432,11,0.55,2975.5694444444443
random,0,262.0,1368,1191,0.20186697782963825,12,0.6,2979.095486111111
random,0,263.0,1368,1191,0.20186697782963825,11,0.55,2979.095486111111
random,0,264.0,1368,1191,0.20186697782963825,11,0.55,2979.095486111111
random,0,265.0,1368,1191,0.20186697782963825,11,0.55,2979.095486111111
random,0,266.0,1368,1191,0.20186697782963825,11,0.55,2979.095486111111
random,0,267.0,1367,1190,0.20245040840140027,12,0.6,2979.3953993055557
random,0,268.0,1367,1190,0.20245040840140027,11,0.55,2979.3953993055557
random,0,269.0,1367,1190,0.20245040840140027,11,0.55,2979.3953993055557
random,0,270.0,1367,1190,0.20245040840140027,11,0.55,2979.3953993055557
random,0,271.0,1367,1190,0.20245040840140027,11,0.55,2979.3953993055557
random,0,272.0,1367,1190,0.20245040840140027,11,0.55,2979.3953993055557
random,0,273.0,1367,1190,0.20245040840140027,11,0.55,2979.3953993055557
random,0,274.0,1367,1190,0.20245040840140027,11,0.55,2979.3953993055557
random,0,275.0,1366,1189,0.20303383897316218,12,0.6,2979.7083333333335
random,0,276.0,1366,1189,0.20303383897316218,11,0.55,2979.7083333333335
random,0,277.0,1366,1189,0.20303383897316218,11,0.55,2979.7083333333335
random,0,278.0,1366,1189,0.20303383897316218,11,0.55,2979.7083333333335
random,0,279.0,1364,1188,0.20420070011668612,12,0.6,2983.6927083333335
random,0,280.0,1363,1187,0.20478413068844803,12,0.6,2984.013454861111
random,0,281.0,1363,1187,0.20478413068844803,11,0.55,2984.013454861111
random,0,282.0,1363,1187,0.20478413068844803,11,0.55,2984.013454861111
random,0,283.0,1363,1187,0.20478413068844803,11,0.55,2984.013454861111
random,0,284.0,1363,1187,0.20478413068844803,11,0.55,2984.013454861111
random,0,285.0,1362,1186,0.20536756126021005,12,0.6,2984.3472222222226
random,0,286.0,1362,1186,0.20536756126021005,11,0.55,2984.3472222222226
random,0,287.0,1362,1186,0.20536756126021005,11,0.55,2984.3472222222226
random,0,288.0,1362,1186,0.20536756126021005,11,0.55,2984.3472222222226
random,0,289.0,1361,1185,0.20595099183197196,12,0.6,2988.009982638889
random,0,290.0,1361,1185,0.20595099183197196,11,0.55,2988.009982638889
random,0,291.0,1359,1183,0.2071178529754959,12,0.6,2988.711371527778
random,0,292.0,1359,1183,0.2071178529754959,11,0.55,2988.711371527778
random,0,293.0,1358,1182,0.20770128354725792,12,0.6,2982.736111111111
random,0,294.0,1358,1182,0.20770128354725792,11,0.55,2982.736111111111
random,0,295.0,1358,1182,0.20770128354725792,11,0.55,2982.736111111111
random,0,296.0,1358,1182,0.20770128354725792,11,0.55,2982.736111111111
random,0,297.0,1357,1181,0.20828471411901983,12,0.6,2976.8780381944443
random,0,298.0,1355,1179,0.20945157526254377,12,0.6,2984.513454861111
random,0,299.0,1354,1178,0.21003500583430568,12,0.6,2984.873263888889
random,0,300.0,1354,1178,0.21003500583430568,11,0.55,2984.873263888889
random,0,301.0,1351,1177,0.21178529754959163,12,0.6,2967.947482638889
random,0,302.0,1351,1177,0.21178529754959163,11,0.55,2967.947482638889
random,0,303.0,1351,1177,0.21178529754959163,11,0.55,2967.947482638889
random,0,304.0,1349,1175,0.21295215869311557,13,0.65,2972.27734375
random,0,305.0,1346,1174,0.2147024504084014,12,0.6,2956.375
random,0,306.0,1346,1174,0.2147024504084014,11,0.55,2956.375
random,0,307.0,1346,1174,0.2147024504084014,11,0.55,2956.375
random,0,308.0,1346,1174,0.2147024504084014,11,0.55,2956.375
random,0,309.0,1338,1170,0.21936989498249704,14,0.7,2954.701388888889
random,0,310.0,1338,1170,0.21936989498249704,11,0.55,2954.701388888889
